index,用户昵称,初评,初评日期,追评,追评日期,追评天数,是否有用,用户id,超级会员,产品,类别,标题,平台,商品链接
1,l***8,入坑了入坑了，很好用，适合我的皮肤。,2021-05-11 16:36:49,Null,Null,Null,True,1132450826975,True,面霜,化妆品净含量:48ml,【抢先加购】修丽可242皮脂膜修护面霜 杜克神经酰胺改善肌肤屏障,tmall,https://detail.tmall.com/item.htm?id=609695388613&ns=1&abbucket=6
2,t***4,242面霜用了一个月，抑制面部泛红效果还不错，趁着活动再屯一瓶,2021-05-09 12:38:48,Null,Null,Null,True,1131707561331,True,面霜,化妆品净含量:48ml,【抢先加购】修丽可242皮脂膜修护面霜 杜克神经酰胺改善肌肤屏障,tmall,https://detail.tmall.com/item.htm?id=609695388613&ns=1&abbucket=6
3,冷***琳,目前感觉还可以  配着色修用 稳定一下皮肤,2021-05-11 12:45:20,Null,Null,Null,True,1132829535274,True,面霜,化妆品净含量:48ml,【抢先加购】修丽可242皮脂膜修护面霜 杜克神经酰胺改善肌肤屏障,tmall,https://detail.tmall.com/item.htm?id=609695388613&ns=1&abbucket=6
4,然***r,修丽可送了个随机礼物，打开发现是这个，666,2021-05-12 22:57:38,Null,Null,Null,True,1132166809275,True,面霜,化妆品净含量:48ml,【抢先加购】修丽可242皮脂膜修护面霜 杜克神经酰胺改善肌肤屏障,tmall,https://detail.tmall.com/item.htm?id=609695388613&ns=1&abbucket=6
5,m***4,emmm还在用着，希望有效果哈哈，,2021-05-12 21:06:56,Null,Null,Null,True,1133019123782,True,面霜,化妆品净含量:48ml,【抢先加购】修丽可242皮脂膜修护面霜 杜克神经酰胺改善肌肤屏障,tmall,https://detail.tmall.com/item.htm?id=609695388613&ns=1&abbucket=6
6,f***2,看评价都收到好多小样，为啥我只有一样发光瓶,2021-05-10 10:17:40,Null,Null,Null,True,1131816781196,True,面霜,化妆品净含量:48ml,【抢先加购】修丽可242皮脂膜修护面霜 杜克神经酰胺改善肌肤屏障,tmall,https://detail.tmall.com/item.htm?id=609695388613&ns=1&abbucket=6
7,饿***赐,皮肤脂质受损，可以用做修护的品牌，几乎全用了，唯独242，不搓泥，不厚重，好吸收，真正做到舒缓，但是，修护效果嘛，毕竟刚开瓶，有待使用,2021-05-12 11:57:21,Null,Null,Null,True,1131639768026,True,面霜,化妆品净含量:48ml,【抢先加购】修丽可242皮脂膜修护面霜 杜克神经酰胺改善肌肤屏障,tmall,https://detail.tmall.com/item.htm?id=609695388613&ns=1&abbucket=6
8,e***5,确实好用！！！,2021-05-08 09:49:58,Null,Null,Null,True,1132007338343,False,面霜,化妆品净含量:48ml,【抢先加购】修丽可242皮脂膜修护面霜 杜克神经酰胺改善肌肤屏障,tmall,https://detail.tmall.com/item.htm?id=609695388613&ns=1&abbucket=6
9,a***1,好感动！皮肤不干了！,2021-05-14 16:46:44,Null,Null,Null,True,1132377713055,True,面霜,化妆品净含量:48ml,【抢先加购】修丽可242皮脂膜修护面霜 杜克神经酰胺改善肌肤屏障,tmall,https://detail.tmall.com/item.htm?id=609695388613&ns=1&abbucket=6
10,尴***9,老客户 用完了一套 补～,2021-04-27 10:12:26,Null,Null,Null,True,1130187593023,True,面霜,化妆品净含量:48ml,【抢先加购】修丽可242皮脂膜修护面霜 杜克神经酰胺改善肌肤屏障,tmall,https://detail.tmall.com/item.htm?id=609695388613&ns=1&abbucket=6
