index,用户昵称,初评,初评日期,追评,追评日期,追评天数,是否有用,用户id,超级会员,产品,类别,标题,平台,商品链接
1,浅***晴,我是敏感干皮，带皮炎呢种，前些天额头大块掉皮，赶紧入手了这个霜，涂了几天额头不起皮了，保湿效果特别特别特别特别好，适合敏感肌，温和不刺激，也不油腻，慕斯质地很喜欢，就是感觉这次这个瓶子有点小了好像，不过真的是敏感肌肤，大干皮的福音，晚上涂厚厚一层，第二天就吸收了，摸着脸软软的,2021-05-13 23:43:56,Null,Null,Null,True,1132293521121,False,面霜,化妆品净含量:50g,玉泽皮肤屏障修护保湿霜50g 保湿敏感肌面霜旗舰店,tmall,https://detail.tmall.com/item.htm?id=637523788342&ns=1&abbucket=6
2,龙***灭,直播间买的 太划算了！爱了爱了 这个包装简约大气很喜欢～ 最惊喜的是还送了两瓶50ml的保湿水！！！直播里没说还送这个，太开心了，本来还买了丝瓜水，够用一段时间了，男朋友换季皮肤非常干，脸痛，泛红，起皮，给他用了两次水和面霜感觉很不错，保湿很好 ，用完不起皮了，也没觉得很厚重很油，可能是因为皮肤太干了吧，用一段时间希望能改善肤质～～～,2021-05-10 12:13:03,Null,Null,Null,True,1132695591266,True,面霜,化妆品净含量:50g,玉泽皮肤屏障修护保湿霜50g 保湿敏感肌面霜旗舰店,tmall,https://detail.tmall.com/item.htm?id=637523788342&ns=1&abbucket=6
3,低***分,终于收到我需要的宝贝了，东西很好，价美物廉，谢谢掌柜的!说实在，这是我淘宝购物来让我最满意的一次购物。无论是掌柜的态度还是对物品，我都非常满意的。掌柜态度很专业热情，有问必答，回复也很快，我问了不少问题，他都不觉得烦，都会认真回答我，这点我向掌柜表示由衷的敬意，这样的好掌柜可不多。,2021-05-11 23:22:18,Null,Null,Null,True,1131597744374,False,面霜,化妆品净含量:50g,玉泽皮肤屏障修护保湿霜50g 保湿敏感肌面霜旗舰店,tmall,https://detail.tmall.com/item.htm?id=637523788342&ns=1&abbucket=6
4,q***n,玉泽收到了，昨天试用了下，挺保湿的，两瓶面霜，两瓶50毫升水，还送了4支小小的面霜！挺划算，好评之前用了他家的面膜，特别好用，这次6-18希望有活动，再来购买！,2021-05-10 13:42:25,Null,Null,Null,True,1131846149418,False,面霜,化妆品净含量:50g,玉泽皮肤屏障修护保湿霜50g 保湿敏感肌面霜旗舰店,tmall,https://detail.tmall.com/item.htm?id=637523788342&ns=1&abbucket=6
5,唯***5,一直都有听说风很大，趁直播买划算入手尝试。春季北方风大时用很滋润，但不会油，敏感肌不过敏，也没有俗气的味道，大罐也耐用，刚用，总体感觉还不错，持续体验中。。。,2021-05-03 14:37:58,Null,Null,Null,True,1130482580689,True,面霜,,玉泽皮肤屏障修护保湿霜50g 保湿敏感肌面霜旗舰店,tmall,https://detail.tmall.com/item.htm?id=637523788342&ns=1&abbucket=6
6,m***4,没用过保湿霜，但一直在用调理乳，作为一个生活在梧桐毛毛飞舞中皮肤超级敏感的人儿，擦了之后戴好口罩，今年基本🈚太大问题。另外也是给另一位朋友种**，哈哈哈哈，用完还会再来的。感谢本次的赠品，日期也都非常好。,2021-05-10 17:14:22,Null,Null,Null,True,1132740215948,True,面霜,化妆品净含量:50g,玉泽皮肤屏障修护保湿霜50g 保湿敏感肌面霜旗舰店,tmall,https://detail.tmall.com/item.htm?id=637523788342&ns=1&abbucket=6
7,9***你,这是第二次购买了，已经用空了一瓶，坚持用效果蛮好的，  我冬天是干皮，对干皮非常友好，但是夏天我是油皮 油皮谨慎购买吧，没想到这次搞活动还赠了保湿水，蛮好的 ，推荐购买！！！,2021-05-10 22:20:10,Null,Null,Null,True,1132775391900,False,面霜,化妆品净含量:50g,玉泽皮肤屏障修护保湿霜50g 保湿敏感肌面霜旗舰店,tmall,https://detail.tmall.com/item.htm?id=637523788342&ns=1&abbucket=6
8,王***萱,买了两瓶保湿霜，送了这么多！生过孩子皮肤比较敏感，趁着活动买的！身边朋友都在用，说是便宜又大碗，口碑很好,2021-05-10 09:00:24,Null,Null,Null,True,1131360172560,False,面霜,化妆品净含量:50g,玉泽皮肤屏障修护保湿霜50g 保湿敏感肌面霜旗舰店,tmall,https://detail.tmall.com/item.htm?id=637523788342&ns=1&abbucket=6
9,t***8,第二次购买玉泽的这款面霜，干皮用着舒服，不会油腻腻的保湿力度又够。比想🍨象中好用多了，适🍆合我这个大干皮，之前一直用科颜氏🌠高保湿👷，换成这样效果一样，很不🍋错，性价比高买第一瓶纯属试试，而且打开味道不好闻，有点腻。。就放那😢了，前一段时间没什么用的又拿起来试试。。哇塞，真好用呀～突然就吸收很好😵，然后回购了两瓶,2021-04-24 17:06:09,7👈 ha：/🔐aDlbX2vU7**《  ~这个商品很不错，我还有一张【10】元，限量优惠I券送给你，快来看看！【玉泽皮肤屏障修护保湿霜50g 保湿敏感肌面霜正品旗舰店】,2021-04-27 09:36:24,2,True,1130308030037,False,面霜,,玉泽皮肤屏障修护保湿霜50g 保湿敏感肌面霜旗舰店,tmall,https://detail.tmall.com/item.htm?id=637523788342&ns=1&abbucket=6
10,团***子,整体评价：第一次用玉泽的产品，网评不错，薇娅直播间入手很划算。打算用用，我是混干皮红血丝皮，脸颊偏干，夏天T字区会有点出油。这个到了我打开用了一下，感觉还是挺滋润的，应该秋冬春季节用没问题，夏天要避开T字区。期待使用感吧！支持国货！加油！,2021-05-08 22:47:36,Null,Null,Null,True,1132519447926,False,面霜,化妆品净含量:50g,玉泽皮肤屏障修护保湿霜50g 保湿敏感肌面霜旗舰店,tmall,https://detail.tmall.com/item.htm?id=637523788342&ns=1&abbucket=6
11,陨***砾,整体评价：还挺舒服的，不油腻，抹脖子也不错,2021-05-10 22:16:47,Null,Null,Null,True,1131468680420,True,面霜,化妆品净含量:50g,玉泽皮肤屏障修护保湿霜50g 保湿敏感肌面霜旗舰店,tmall,https://detail.tmall.com/item.htm?id=637523788342&ns=1&abbucket=6
12,苏***圈,很舒服的一款面霜，乳液质地，没有想象中的厚重，混干皮夏天涂无压力。面霜完全无味道。拿到在手上试了试，用后保湿效果挺好的，好评！,2021-05-10 18:55:56,Null,Null,Null,True,1131891621358,True,面霜,化妆品净含量:50g,玉泽皮肤屏障修护保湿霜50g 保湿敏感肌面霜旗舰店,tmall,https://detail.tmall.com/item.htm?id=637523788342&ns=1&abbucket=6
13,t***1,发货速度快，包装完好，还送了很多小样。本人是敏感肌以前不知道这个品牌的化妆品在薇娅直播间了解到这个产品觉得很适合自己于是毫不犹豫买下了就是觉得有点小贵。如果用着好皮肤可以修复好以后还会继续购买,2021-05-09 11:43:21,Null,Null,Null,True,1132562627040,False,面霜,化妆品净含量:50g,玉泽皮肤屏障修护保湿霜50g 保湿敏感肌面霜旗舰店,tmall,https://detail.tmall.com/item.htm?id=637523788342&ns=1&abbucket=6
14,马***4,整体评价：真不错啊 保湿控油效果：保湿绝了，之前用的倩碧的有油黄油，还要混上澳佳宝那个蓝管，第二天早上起来皮肤依然不是很湿润，玉泽这个就一层，早上起来就很湿呼，真心保湿不错 质地手感：粘粘的膏体 我的肤质：干皮,2021-05-12 08:40:42,Null,Null,Null,True,1132057613336,True,面霜,化妆品净含量:50g,玉泽皮肤屏障修护保湿霜50g 保湿敏感肌面霜旗舰店,tmall,https://detail.tmall.com/item.htm?id=637523788342&ns=1&abbucket=6
15,勾***雪,拿到后晚上就使用了，有点淡粉色，润但不油，适合偏干一点的皮肤使用，我混油敏感肌的用起来也还好，有一点偏油，能接受，坚持使用看有没有效果,2021-05-13 21:33:03,Null,Null,Null,True,1131835640802,False,面霜,化妆品净含量:50g,玉泽皮肤屏障修护保湿霜50g 保湿敏感肌面霜旗舰店,tmall,https://detail.tmall.com/item.htm?id=637523788342&ns=1&abbucket=6
16,点***蓝,支持国货！支持玉泽，最近用了好多国货，效果很棒，无刺激！,2021-05-10 20:49:10,Null,Null,Null,True,1131904069278,True,面霜,化妆品净含量:50g,玉泽皮肤屏障修护保湿霜50g 保湿敏感肌面霜旗舰店,tmall,https://detail.tmall.com/item.htm?id=637523788342&ns=1&abbucket=6
17,5***o,朋友推荐，还没有用，但是超级实惠，薇娅直播间买的,2021-05-10 18:04:23,Null,Null,Null,True,1132747771144,False,面霜,化妆品净含量:50g,玉泽皮肤屏障修护保湿霜50g 保湿敏感肌面霜旗舰店,tmall,https://detail.tmall.com/item.htm?id=637523788342&ns=1&abbucket=6
18,x***r,直播间买很划算，还送了两瓶保湿水，开始用第一天，后续观察效果,2021-05-10 08:30:27,Null,Null,Null,True,1132251350100,True,面霜,化妆品净含量:50g,玉泽皮肤屏障修护保湿霜50g 保湿敏感肌面霜旗舰店,tmall,https://detail.tmall.com/item.htm?id=637523788342&ns=1&abbucket=6
19,t***2,【年年】客服非常好，我不记得自己买过什么东西&hellip;客服很耐心地帮助我，添麻烦了～ 这个是同学推给我的，很巧又碰上薇娅在播，我觉得靠谱！,2021-05-10 17:51:16,Null,Null,Null,True,1132334830819,False,面霜,化妆品净含量:50g,玉泽皮肤屏障修护保湿霜50g 保湿敏感肌面霜旗舰店,tmall,https://detail.tmall.com/item.htm?id=637523788342&ns=1&abbucket=6
20,小***r,我来说一下使用感受，我是中药点斑不到一个月，皮肤变薄了，超级缺水，所以用一些产品会超级刺痛，因为一直相信薇娅，看了直播介绍买了这款玉泽，赶紧试用起来，没有刺痛，脸上很舒服，感觉自己的皮肤在狂吸收的感觉，真心适合大家做完祛斑等等的皮肤修复。太强大了。,2021-05-09 21:54:18,Null,Null,Null,True,1131334324155,True,面霜,化妆品净含量:50g,玉泽皮肤屏障修护保湿霜50g 保湿敏感肌面霜旗舰店,tmall,https://detail.tmall.com/item.htm?id=637523788342&ns=1&abbucket=6
21,h***5,我的肤质是特敏感，所在地区是干燥气候，春天经常刮风，柳絮满天飞，一到这个时候感觉脸天天都是处于红斑满脸，过敏发痒，还有起皮的情况，现刚刚使用了2天，感觉起皮的情况有所减轻，其它状况效果还不明显，再使用一段时间看看吧，好评！,2021-05-12 20:34:50,Null,Null,Null,True,1132603330644,True,面霜,化妆品净含量:50g,玉泽皮肤屏障修护保湿霜50g 保湿敏感肌面霜旗舰店,tmall,https://detail.tmall.com/item.htm?id=637523788342&ns=1&abbucket=6
22,文***妍,本人敏感加特干肤质，五一之前在薇娅直播间买了一套，五一在家一直用这个，用下来很不错，对干皮很友好，晚上厚涂，吸收后早上起来还是很润，所以这次直播间面霜有活动就又屯起来了，这个面霜很适合干皮，油皮和混合我不介意使用，因为太滋润了。,2021-05-08 20:09:06,Null,Null,Null,True,1132093458310,False,面霜,化妆品净含量:50g,玉泽皮肤屏障修护保湿霜50g 保湿敏感肌面霜旗舰店,tmall,https://detail.tmall.com/item.htm?id=637523788342&ns=1&abbucket=6
23,米***0,刚拿回来，还没用，在薇娅直播间买的优惠大不说，还送了不少东西，谢谢,2021-05-11 17:34:12,Null,Null,Null,True,1132870435222,True,面霜,化妆品净含量:50g,玉泽皮肤屏障修护保湿霜50g 保湿敏感肌面霜旗舰店,tmall,https://detail.tmall.com/item.htm?id=637523788342&ns=1&abbucket=6
24,f***6,第一次购买 薇娅直播下单 脸部红血丝 期待效果 会追评,2021-05-09 11:46:51,Null,Null,Null,True,1132562319912,True,面霜,化妆品净含量:50g,玉泽皮肤屏障修护保湿霜50g 保湿敏感肌面霜旗舰店,tmall,https://detail.tmall.com/item.htm?id=637523788342&ns=1&abbucket=6
25,l***7,前段时间出去玩赶上皮肤过敏，红肿粗糙还起皮，看到薇娅推荐的屏障修复霜就半信半疑买来试试，用了两天左右，首先皮肤起皮的现象明显得到缓解，然后不那么粗糙了，第二天就平滑不泛红了，所以这几天因为坚持在用，我本人属于混合型皮肤，干燥但我有的时候鼻子嘴角又会有点油，我用的时候没感觉油腻，吸收的很好，皮肤一天也不觉得干了，会坚持用看看美白的效果,2021-05-13 10:49:27,Null,Null,Null,True,1131753088225,False,面霜,化妆品净含量:50g,玉泽皮肤屏障修护保湿霜50g 保湿敏感肌面霜旗舰店,tmall,https://detail.tmall.com/item.htm?id=637523788342&ns=1&abbucket=6
26,火***舞,北方干敏皮，之前买精华送了这个小样觉得很好用，秋冬春天三季都可以用来保湿,2021-05-12 11:17:27,Null,Null,Null,True,1132942547718,True,面霜,化妆品净含量:50g,玉泽皮肤屏障修护保湿霜50g 保湿敏感肌面霜旗舰店,tmall,https://detail.tmall.com/item.htm?id=637523788342&ns=1&abbucket=6
