index,用户昵称,初评,初评日期,追评,追评日期,追评天数,是否有用,用户id,超级会员,产品,类别,标题,平台,商品链接
1,王***来,正装还没用，✳在用赠送的试用装，✏没有刺激过敏的不良反应，&clubs;保湿效果很好。我油性皮肤，♊感觉控油效果很好挺好的是正品↪一如既往喜欢↪非常满意的一次购物，✳还会再来回购的，♓5星好评✳,2021-05-11 17:28:54,很好用的爽肤水，还很实惠喲,2021-05-16 09:52:36,4,True,1132458182855,False,精华,化妆品净含量:230ml,【520礼物】科颜氏金盏花植萃爽肤水 精华水收缩毛孔湿敷水控油,tmall,https://detail.tmall.com/item.htm?id=545379144839&ns=1&abbucket=6
2,中***家,"好多赠品,收缩毛孔👅很好,适合夏天使用。超🌃级保湿,消炎效果贼好👱,皮肤才会越来越好。💓还会再来回购的,感觉🚃控油效果很好挺好的是☝正品一如既往喜欢非常😝满意的一次购物,控油⁉保湿效果很好,祛痘效🌂果不错,控油不错。",2021-05-14 17:23:24,Null,Null,Null,True,1133248095617,True,精华,化妆品净含量:230ml,【520礼物】科颜氏金盏花植萃爽肤水 精华水收缩毛孔湿敷水控油,tmall,https://detail.tmall.com/item.htm?id=545379144839&ns=1&abbucket=6
3,t***4,"吸收效果：容易吸收⛄,宝贝很好呀🌁,适合夏天使用！湿敷很舒服！一直觉得不错🌁,喜欢～颜值也高☁,送了很多小样☔,支持宋茜！支持科颜氏！用起来清爽﻿☀,太美了啊啊啊！超级谢谢我们小茂老师的详细讲解⚡,最适合我的爽肤水儿绝绝子🌂x很棒呀_~",2021-05-14 10:58:47,Null,Null,Null,True,1133191987533,False,精华,化妆品净含量:500ml,【520礼物】科颜氏金盏花植萃爽肤水 精华水收缩毛孔湿敷水控油,tmall,https://detail.tmall.com/item.htm?id=545379144839&ns=1&abbucket=6
4,h***0,感谢小茂老师推荐，好用又实惠,2021-05-10 11:12:01,Null,Null,Null,True,1131824985228,True,精华,化妆品净含量:230ml,【520礼物】科颜氏金盏花植萃爽肤水 精华水收缩毛孔湿敷水控油,tmall,https://detail.tmall.com/item.htm?id=545379144839&ns=1&abbucket=6
5,张***9,"⚡对油皮也很友好,补水效果一绝，夏天用这个很清爽，没有酒精，不刺激，收到是玻璃瓶子的，沉甸甸的很有质感，啧啧啧～痘痘肌 不知道第几百次回购 颜值爆棚，温润不刺激，170周年支持科颜氏！",2021-05-12 14:27:37,看我晒图！！！非常划算哟~,2021-05-16 10:45:52,3,True,1132556210847,False,精华,化妆品净含量:230ml,【520礼物】科颜氏金盏花植萃爽肤水 精华水收缩毛孔湿敷水控油,tmall,https://detail.tmall.com/item.htm?id=545379144839&ns=1&abbucket=6
6,玲***珑,金盏花值萃爽肤水，调节水油平衡，搭配新款高保湿面霜，夏天清爽水润不油腻，谢谢小茂老师的推荐,2021-05-10 11:51:33,Null,Null,Null,True,1131385816981,True,精华,化妆品净含量:230ml,【520礼物】科颜氏金盏花植萃爽肤水 精华水收缩毛孔湿敷水控油,tmall,https://detail.tmall.com/item.htm?id=545379144839&ns=1&abbucket=6
7,半***草,今年夏天不用怕出油和爆痘啦，因为我有小茂老师安利的科颜氏金盏花植萃爽肤水，痘痘的好帮手，质地也很好，吸收性好，温和清爽不油腻，天然成分，湿敷也很棒哦！,2021-05-11 10:36:50,Null,Null,Null,True,1131950017570,True,精华,化妆品净含量:230ml,【520礼物】科颜氏金盏花植萃爽肤水 精华水收缩毛孔湿敷水控油,tmall,https://detail.tmall.com/item.htm?id=545379144839&ns=1&abbucket=6
8,t***2,对痘痘和闭口很有用，不刺激，用上很清爽，限定包装特别漂亮，感谢小茂老师,2021-05-13 21:31:38,Null,Null,Null,True,1132282313841,False,精华,化妆品净含量:230ml,【520礼物】科颜氏金盏花植萃爽肤水 精华水收缩毛孔湿敷水控油,tmall,https://detail.tmall.com/item.htm?id=545379144839&ns=1&abbucket=6
9,h***1,顺丰快递超快 包装很好 电话地址也很隐秘 产品非常好用 回购好几次了 正品来的,2021-05-09 11:31:35,Null,Null,Null,True,1131255736556,False,精华,化妆品净含量:500ml,【520礼物】科颜氏金盏花植萃爽肤水 精华水收缩毛孔湿敷水控油,tmall,https://detail.tmall.com/item.htm?id=545379144839&ns=1&abbucket=6
10,t***7,赠品很多哦，小茂老师推荐的好很好用，适合夏天，以后会回购哒。 整体评价：好 手感质地：清爽，适合夏天 保湿控油情况：很好 我的肤质：偏油性,2021-05-09 09:49:16,Null,Null,Null,True,1132135234503,False,精华,化妆品净含量:230ml,【520礼物】科颜氏金盏花植萃爽肤水 精华水收缩毛孔湿敷水控油,tmall,https://detail.tmall.com/item.htm?id=545379144839&ns=1&abbucket=6
