index,用户昵称,初评,初评日期,追评,追评日期,追评天数,是否有用,用户id,超级会员,产品,类别,标题,平台,商品链接
1,f***1,整体评价：风很大的一款A醇产品，被身边人疯狂种草，铝管设计，质地对于混油皮来说还好，略微有一丢丢厚重，但吸收不错。一定要晚上用并注意耐受性，可以在用之前抹在局部肌肤上，看看有没有发痒发红症状。,2021-05-14 21:19:53,Null,Null,Null,True,1133274903669,False,乳液,化妆品净含量:40g,露得清a醇晚霜乳液视黄醇抗初老精华面霜抗皱紧致抗衰老维a醇水乳,tmall,https://detail.tmall.com/item.htm?id=575547501041&ns=1&abbucket=6
2,小***椒,跟风买了一套，感觉效果还是有的，用了不到半个月，皮肤光滑紧致了一些，有个好几年的顽固性闭口都没了。不错。,2021-05-14 22:35:16,Null,Null,Null,True,1132416661518,True,乳液,化妆品净含量:40g,露得清a醇晚霜乳液视黄醇抗初老精华面霜抗皱紧致抗衰老维a醇水乳,tmall,https://detail.tmall.com/item.htm?id=575547501041&ns=1&abbucket=6
3,a***g,整体评价：发货快 第一次使用没有发现过敏 质地手感：质地清爽夏天用不会粘腻 我的肤质：敏感肌 第一次使用，没有过敏，第二天脸滑滑的 持续用一段时间希望对肤质有改善,2021-05-05 10:48:59,Null,Null,Null,True,1131137949075,False,乳液,化妆品净含量:40g,露得清a醇晚霜乳液视黄醇抗初老精华面霜抗皱紧致抗衰老维a醇水乳,tmall,https://detail.tmall.com/item.htm?id=575547501041&ns=1&abbucket=6
4,c***e,很担心出现反黑的情况，但是目前没有，可以参考小红书的耐受建立过程,2021-05-13 19:37:33,Null,Null,Null,True,1133134739642,False,乳液,化妆品净含量:40g,露得清a醇晚霜乳液视黄醇抗初老精华面霜抗皱紧致抗衰老维a醇水乳,tmall,https://detail.tmall.com/item.htm?id=575547501041&ns=1&abbucket=6
5,g***n,第一次使用，没什么不良反应，但在知乎上了解了一下，这个刚开始使用还是比较需要注意，客服：小倩，也很有耐心的解答疑问，感谢！期待效果吧,2021-05-09 10:01:39,Null,Null,Null,True,1131686897044,False,乳液,化妆品净含量:40g,露得清a醇晚霜乳液视黄醇抗初老精华面霜抗皱紧致抗衰老维a醇水乳,tmall,https://detail.tmall.com/item.htm?id=575547501041&ns=1&abbucket=6
6,王***3,真的超级好用！效果还是挺明显的！,2021-05-11 18:08:52,Null,Null,Null,True,1132463050848,False,乳液,化妆品净含量:40g,露得清a醇晚霜乳液视黄醇抗初老精华面霜抗皱紧致抗衰老维a醇水乳,tmall,https://detail.tmall.com/item.htm?id=575547501041&ns=1&abbucket=6
7,冰***恋,味道还挺好闻 希望用这好用,2021-05-12 19:37:42,Null,Null,Null,True,1131699192704,False,乳液,化妆品净含量:40g,露得清a醇晚霜乳液视黄醇抗初老精华面霜抗皱紧致抗衰老维a醇水乳,tmall,https://detail.tmall.com/item.htm?id=575547501041&ns=1&abbucket=6
8,t***0,买好几次了，老公特别愿意用，没香精味，也不腻，很清爽，所以男士也能喜欢也能接受，我跟老公的用量都特别大，所以很快就用完，我总觉得用少了没效果哈哈哈哈哈哈哈可能是心里安慰吧哈哈哈哈哈，特别喜欢，会一直回购的哈哈哈哈哈这次打折也很优惠,2021-04-27 20:40:27,Null,Null,Null,True,1129825364824,False,乳液,化妆品净含量:40g,露得清a醇晚霜乳液视黄醇抗初老精华面霜抗皱紧致抗衰老维a醇水乳,tmall,https://detail.tmall.com/item.htm?id=575547501041&ns=1&abbucket=6
9,鱼***刺,用了几天发现毛孔好像细了点，而且鼻头的出油少了，每天晚上用也没问题，A醇果然厉害,2021-05-10 12:30:49,Null,Null,Null,True,1131835577982,True,乳液,化妆品净含量:40g,露得清a醇晚霜乳液视黄醇抗初老精华面霜抗皱紧致抗衰老维a醇水乳,tmall,https://detail.tmall.com/item.htm?id=575547501041&ns=1&abbucket=6
10,超***夕,好用 正品 再搭配一个cc 绝绝子,2021-05-07 21:11:23,Null,Null,Null,True,1131076376811,False,乳液,化妆品净含量:40g,露得清a醇晚霜乳液视黄醇抗初老精华面霜抗皱紧致抗衰老维a醇水乳,tmall,https://detail.tmall.com/item.htm?id=575547501041&ns=1&abbucket=6
