index,用户昵称,初评,初评日期,追评,追评日期,追评天数,是否有用,用户id,超级会员,产品,类别,标题,平台,商品链接
1,t***8,最近的心头好～非常舒服很适合夏天的面膜，洗掉感觉补水效果不错，皮肤也变得比较透亮，毛孔和皮肤肌理也变得比较平整。棒！,2021-05-14 09:29:15,Null,Null,Null,True,1132765086158,True,面膜,化妆品净含量:50ml,farmacy植萃美肌冰感愈颜面膜50ml修护涂抹式冰奶绿面膜夏日晒后,tmall,https://detail.tmall.com/item.htm?id=638029926329&ns=1&abbucket=6
2,薇***微,本人是大干皮，面膜颜值爆表，质地清润，味道淡淡的清香，好看😊，涂在脸上上头，真上头。感觉摸了牙膏上脸 ，只敢薄薄涂了一层，10分钟后洗了，清凉感十足，效果慢慢发现吧。,2021-05-07 21:23:34,Null,Null,Null,True,1131077752622,False,面膜,化妆品净含量:50ml,farmacy植萃美肌冰感愈颜面膜50ml修护涂抹式冰奶绿面膜夏日晒后,tmall,https://detail.tmall.com/item.htm?id=638029926329&ns=1&abbucket=6
3,田***轩,这个面膜闻着味道特别像清凉油，搽在脸上的感觉也很像，搽着感觉像在涂面霜一样,2021-05-13 17:14:30,Null,Null,Null,True,1133117479759,True,面膜,化妆品净含量:50ml,farmacy植萃美肌冰感愈颜面膜50ml修护涂抹式冰奶绿面膜夏日晒后,tmall,https://detail.tmall.com/item.htm?id=638029926329&ns=1&abbucket=6
4,一***a,超级好用，膏体像乳液般柔软，涂到脸上一秒清凉舒服。,2021-05-13 19:51:28,Null,Null,Null,True,1131825236186,False,面膜,化妆品净含量:50ml,farmacy植萃美肌冰感愈颜面膜50ml修护涂抹式冰奶绿面膜夏日晒后,tmall,https://detail.tmall.com/item.htm?id=638029926329&ns=1&abbucket=6
5,g***j,简直惊呆了，很舒缓冰凉凉又超舒服，就是。。。小贵。。。。当然这不是你们的问题。。。是我的问题,2021-05-13 00:28:34,Null,Null,Null,True,1133035283332,True,面膜,化妆品净含量:50ml,farmacy植萃美肌冰感愈颜面膜50ml修护涂抹式冰奶绿面膜夏日晒后,tmall,https://detail.tmall.com/item.htm?id=638029926329&ns=1&abbucket=6
6,m***n,买50ml送15ml*2，超清凉上脸很舒服，夏天的感觉,2021-05-04 10:49:34,Null,Null,Null,True,1130572120227,False,面膜,化妆品净含量:50ml,farmacy植萃美肌冰感愈颜面膜50ml修护涂抹式冰奶绿面膜夏日晒后,tmall,https://detail.tmall.com/item.htm?id=638029926329&ns=1&abbucket=6
7,w***6,和描述的一致 还未开始使用 物流发货快捷 包装严密,2021-05-05 09:14:13,Null,Null,Null,True,1130679888925,True,面膜,化妆品净含量:50ml,farmacy植萃美肌冰感愈颜面膜50ml修护涂抹式冰奶绿面膜夏日晒后,tmall,https://detail.tmall.com/item.htm?id=638029926329&ns=1&abbucket=6
8,t***8,很舒服，敷完皮肤凉凉的,2021-05-06 20:59:14,Null,Null,Null,True,1131834458880,False,面膜,化妆品净含量:50ml,farmacy植萃美肌冰感愈颜面膜50ml修护涂抹式冰奶绿面膜夏日晒后,tmall,https://detail.tmall.com/item.htm?id=638029926329&ns=1&abbucket=6
9,z***1,才到货几天 就搞降价100活动,2021-05-14 00:44:36,Null,Null,Null,True,1132296209053,True,面膜,化妆品净含量:50ml,farmacy植萃美肌冰感愈颜面膜50ml修护涂抹式冰奶绿面膜夏日晒后,tmall,https://detail.tmall.com/item.htm?id=638029926329&ns=1&abbucket=6
10,卡***1,哇喔简直太好用了！首先长的很好看，本颜值党很满意！质地轻薄，清香不腻，涂上脸清清凉凉，夏天可以在家做个清凉SPA啦，也很适合晒伤后的修复,2021-04-21 18:16:42,Null,Null,Null,True,1130337647123,False,面膜,化妆品净含量:50ml,farmacy植萃美肌冰感愈颜面膜50ml修护涂抹式冰奶绿面膜夏日晒后,tmall,https://detail.tmall.com/item.htm?id=638029926329&ns=1&abbucket=6
11,陌***4,小样漏了，然后抹上去皮肤有点刺痛，味道跟感觉有点像涂了牙膏一样，效果现在也没看出来，如果看出效果了就来追评！,2021-05-08 22:52:46,Null,Null,Null,True,1132520331034,True,面膜,化妆品净含量:50ml,farmacy植萃美肌冰感愈颜面膜50ml修护涂抹式冰奶绿面膜夏日晒后,tmall,https://detail.tmall.com/item.htm?id=638029926329&ns=1&abbucket=6
12,明***愿,冰凉不错,2021-05-07 20:38:44,Null,Null,Null,True,1131966034440,True,面膜,化妆品净含量:50ml,farmacy植萃美肌冰感愈颜面膜50ml修护涂抹式冰奶绿面膜夏日晒后,tmall,https://detail.tmall.com/item.htm?id=638029926329&ns=1&abbucket=6
13,t***5,希望好用,2021-05-08 17:57:26,Null,Null,Null,True,1132489771159,True,面膜,化妆品净含量:50ml,farmacy植萃美肌冰感愈颜面膜50ml修护涂抹式冰奶绿面膜夏日晒后,tmall,https://detail.tmall.com/item.htm?id=638029926329&ns=1&abbucket=6
14,瑚***1,看到farmacy上新品面膜了 作为忠实粉必须第一时间来尝鲜。说下真实感受吧，质地很轻柔，涂在脸上薄薄的一层，清凉的味道，有微凉的感觉可以急速的给肌肤降温，对于镇定痘痘和敏感肌泛红应该有效。敷了15分钟洗掉后续也不拔干，感觉肌肤舒缓了很多。夏天就用它了，推荐！,2021-04-16 21:57:05,Null,Null,Null,True,1129323695000,False,面膜,化妆品净含量:50ml,farmacy植萃美肌冰感愈颜面膜50ml修护涂抹式冰奶绿面膜夏日晒后,tmall,https://detail.tmall.com/item.htm?id=638029926329&ns=1&abbucket=6
15,后***来,味道我很喜欢，跟他家的卸妆膏一个味道，清清凉凉的，上脸也很清爽易推开，不会厚重，我觉得还挺适合油皮的。送的两个小样适合出去玩的时候带着，很棒,2021-04-10 14:31:09,Null,Null,Null,True,1128072369837,True,面膜,化妆品净含量:50ml,farmacy植萃美肌冰感愈颜面膜50ml修护涂抹式冰奶绿面膜夏日晒后,tmall,https://detail.tmall.com/item.htm?id=638029926329&ns=1&abbucket=6
16,w***e,被这一抹奶绿给吸引了，情不自禁的就下了单！ 味道很清新，清凉味很上头！ 质地很清薄，感觉薄涂遮不住脸，涂了厚厚的一层，脸上冰冰凉凉，降掉一天的疲劳！ 听说辣木树和他是一对！一起入了！,2021-04-13 23:06:20,Null,Null,Null,True,1129355991921,True,面膜,化妆品净含量:50ml,farmacy植萃美肌冰感愈颜面膜50ml修护涂抹式冰奶绿面膜夏日晒后,tmall,https://detail.tmall.com/item.htm?id=638029926329&ns=1&abbucket=6
17,怪***头,像奶昔一样特别好看，上脸冰冰凉凉挺舒服，洗脸时感觉更爽，感觉有镇静作用！送的小样很可爱缩小版，适合出小远门用，整挺好👍👍👍 商品气味：也是柠檬柑橘的气味，像卸妆膏一样好闻！,2021-04-06 16:37:52,Null,Null,Null,True,1128417019438,False,面膜,化妆品净含量:50ml,farmacy植萃美肌冰感愈颜面膜50ml修护涂抹式冰奶绿面膜夏日晒后,tmall,https://detail.tmall.com/item.htm?id=638029926329&ns=1&abbucket=6
18,w***n,没有抖音说的那么神奇，有点难清洗,2021-05-05 08:54:25,Null,Null,Null,True,1131119385674,True,面膜,化妆品净含量:50ml,farmacy植萃美肌冰感愈颜面膜50ml修护涂抹式冰奶绿面膜夏日晒后,tmall,https://detail.tmall.com/item.htm?id=638029926329&ns=1&abbucket=6
19,z***7,相当于蜂蜜面膜，新品冰奶绿面膜更适合我这个混合型泛红敏感肌啊，凉凉的很舒服，巨补水！ 轻薄的我还以为是乳液！第一次用过这么清透的面膜哦～,2021-04-04 20:23:56,Null,Null,Null,True,1126920472224,False,面膜,化妆品净含量:50ml,farmacy植萃美肌冰感愈颜面膜50ml修护涂抹式冰奶绿面膜夏日晒后,tmall,https://detail.tmall.com/item.htm?id=638029926329&ns=1&abbucket=6
20,w***7,哈哈哈颜值真的很高！夏日清新小绿！爱了爱了～赠品好足，夏天就靠它啦～上脸冰冰凉凉好疗愈，适合我这种油痘肌，可以镇定舒缓,2021-04-14 08:07:44,Null,Null,Null,True,1128096696259,True,面膜,化妆品净含量:50ml,farmacy植萃美肌冰感愈颜面膜50ml修护涂抹式冰奶绿面膜夏日晒后,tmall,https://detail.tmall.com/item.htm?id=638029926329&ns=1&abbucket=6
21,专***柔,涂上脸凉嗖嗖的，没感觉有啥好的，而且对皮肤的刺激太大。,2021-04-30 20:18:28,Null,Null,Null,True,1131068858500,True,面膜,化妆品净含量:50ml,farmacy植萃美肌冰感愈颜面膜50ml修护涂抹式冰奶绿面膜夏日晒后,tmall,https://detail.tmall.com/item.htm?id=638029926329&ns=1&abbucket=6
22,s***m,有点像薄荷的香味,2021-04-23 22:50:21,清凉度大于Valmont幸福面膜 滋润度不错  打开感觉面膜量有点少 不是装的很满的那种  不是很喜欢这个薄荷香味,2021-04-25 11:36:16,1,True,1129773185959,True,面膜,化妆品净含量:50ml,farmacy植萃美肌冰感愈颜面膜50ml修护涂抹式冰奶绿面膜夏日晒后,tmall,https://detail.tmall.com/item.htm?id=638029926329&ns=1&abbucket=6
23,哇***k,包装很用心，瓶子是玻璃的，快递里包满了泡泡纸。面膜的质地不错，比乳液厚重但是又不会太厚的滑感，涂上很舒服，冰冰凉凉的感觉，非常适合夏天。洗完后脸确实感觉光滑了。味道是很舒服的淡香味😊,2021-05-17 23:24:28,Null,Null,Null,True,1133671119706,True,面膜,化妆品净含量:50ml,farmacy植萃美肌冰感愈颜面膜50ml修护涂抹式冰奶绿面膜夏日晒后,tmall,https://detail.tmall.com/item.htm?id=638029926329&ns=1&abbucket=6
24,t***8,用上凉嗖嗖的 只能夏天用 冬天太冷 哈哈哈哈 敏感肌 用了还可以 洗完也不泛红 就是刚上脸凉的疼 几秒就好了 效果看不太出来,2021-05-18 16:21:29,Null,Null,Null,True,1132437912732,True,面膜,化妆品净含量:50ml,farmacy植萃美肌冰感愈颜面膜50ml修护涂抹式冰奶绿面膜夏日晒后,tmall,https://detail.tmall.com/item.htm?id=638029926329&ns=1&abbucket=6
25,t***7,本人油皮，赏脸一点都不厚重，冰冰凉凉的，安利一波 (๑&bull;̀ㅂ&bull;́)ﾉ➹♡,2021-05-18 18:40:24,Null,Null,Null,True,1132457316237,False,面膜,化妆品净含量:50ml,farmacy植萃美肌冰感愈颜面膜50ml修护涂抹式冰奶绿面膜夏日晒后,tmall,https://detail.tmall.com/item.htm?id=638029926329&ns=1&abbucket=6
26,w***d,好用，适合油皮，夏天用冰冰凉凉，舒服,2021-05-18 16:40:38,Null,Null,Null,True,1132441040440,True,面膜,化妆品净含量:50ml,farmacy植萃美肌冰感愈颜面膜50ml修护涂抹式冰奶绿面膜夏日晒后,tmall,https://detail.tmall.com/item.htm?id=638029926329&ns=1&abbucket=6
